wiki_id,start,end,district,role
Q5784568,1912,1920,Älvsborgs läns norra valkrets,andrakammarledamot
Q6180686,1918,1921,Malmöhus läns södra valkrets,andrakammarledamot
Q5784568,1921,1921,Älvsborgs läns valkrets,andrakammarledamot
Q5784568,1925,1928,Älvsborgs läns valkrets,andrakammarledamot
Q6151901,1937,1937,Skaraborgs läns valkrets,andrakammarledamot
Q5886385,1937,1940,Östergötlands läns valkrets,andrakammarledamot
Q53707,1933,1944,Fyrstadskretsen,andrakammarledamot
Q179493,1938,1944,Stockholms kommuns valkrets,förstakammarledamot
Q53707,1945,1948,Malmöhus läns valkrets,förstakammarledamot
Q5781896,1933,1955,Fyrstadskretsen,andrakammarledamot
Q5886385,1943,1956,Östergötlands läns valkrets,andrakammarledamot
Q5561426,1956,1958,Dalarnas läns valkrets,förstakammarledamot
Q5715273,1937,1959,Västra Götalands läns södra valkrets,andrakammarledamot
Q5784568,1929,1960,Värmlands läns valkrets,andrakammarledamot
Q6180020,1929,1960,Östergötlands läns valkrets,andrakammarledamot
Q4984675,1949,1960,Stockholms läns valkrets,andrakammarledamot
Q6156731,1949,1960,Stockholms kommuns valkrets,andrakammarledamot
Q5887636,1951,1960,Kronobergs läns och Hallands läns valkrets,förstakammarledamot
Q5963832,1957,1960,Jönköpings läns valkrets,andrakammarledamot
Q5715273,1960,1961,Skaraborgs läns valkrets,förstakammarledamot
Q6172705,1937,1962,Göteborgs kommuns valkrets,andrakammarledamot
Q5997101,1953,1962,Uppsala läns valkrets,andrakammarledamot
Q5781896,1956,1963,Malmöhus läns valkrets,förstakammarledamot
Q6180686,1922,1964,Malmöhus läns valkrets,andrakammarledamot
Q6151901,1941,1964,Skaraborgs läns valkrets,andrakammarledamot
Q6195774,1943-09-23,1964,Örebro läns valkrets,förstakammarledamot
Q6199074,1945,1964,Gotlands läns valkrets,andrakammarledamot
Q1554742,1957,1965-10-14,Stockholms kommuns valkrets,andrakammarledamot
Q5577506,1965,1966,Göteborgs kommuns valkrets,andrakammarledamot
Q5621600,1941,1968,,andrakammarledamot
Q6206899,1941,1968,Östergötlands läns valkrets,andrakammarledamot
Q4957038,1947,1968,Skaraborgs läns valkrets,andrakammarledamot
Q6072689,1953,1968,Stockholms kommuns valkrets,andrakammarledamot
Q5577840,1958,1968,Stockholms kommuns valkrets,andrakammarledamot
Q6156731,1965,1968,Stockholms kommuns valkrets,andrakammarledamot
Q5967746,1954,1969,Stockholms kommuns valkrets,förstakammarledamot
Q514209,1942,1970,Västernorrlands läns valkrets,andrakammarledamot
Q1606431,1943,1970,Örebro läns valkrets,andrakammarledamot
Q179493,1945,1970,Stockholms kommuns valkrets,andrakammarledamot
Q6046795,1948,1970,Kalmar läns och Gotlands läns valkrets,förstakammarledamot
Q53707,1949,1970,Stockholms kommuns valkrets,andrakammarledamot
Q5554059,1949,1970,Västernorrlands läns och Jämtlands läns valkrets,förstakammarledamot
Q5777440,1949,1970,Göteborgs kommuns valkrets,andrakammarledamot
Q5551491,1951,1970,Fyrstadskretsen,andrakammarledamot
Q707581,1951-03-27,1970,Hallands läns valkrets,andrakammarledamot
Q2345137,1953,1970,Malmöhus läns valkrets,förstakammarledamot
Q6146893,1953,1970,Malmöhus läns valkrets,förstakammarledamot
Q2954414,1954,1970,Jönköpings läns valkrets,förstakammarledamot
Q5546257,1955,1970,Stockholms läns och Uppsala läns valkrets,förstakammarledamot
Q6012223,1956,1970,Blekinge läns och Kristianstads läns valkrets,förstakammarledamot
Q6194302,1956,1970,Södermanlands läns och Västmanlands läns valkrets,förstakammarledamot
Q4938354,1957,1970,Östergötlands läns valkrets,andrakammarledamot
Q5716662,1957,1970,Gävleborgs läns valkrets,andrakammarledamot
Q5886385,1957,1970,Östergötlands läns valkrets,förstakammarledamot
Q5937997,1957,1970,Östergötlands läns valkrets,förstakammarledamot
Q6000480,1957,1970,Malmöhus läns valkrets,förstakammarledamot
Q6044930,1957,1970,Kalmar läns och Gotlands läns valkrets,förstakammarledamot
Q6198452,1957,1970,Västra Götalands läns västra valkrets,andrakammarledamot
Q3379728,1958,1970,Göteborgs kommuns valkrets,förstakammarledamot
Q5782529,1958,1970,Gävleborgs läns valkrets,andrakammarledamot
Q5887928,1958,1970,Jönköpings läns valkrets,förstakammarledamot
Q5897318,1958,1970,Värmlands läns valkrets,förstakammarledamot
Q3424655,1959,1970,Göteborgs kommuns valkrets,förstakammarledamot
Q4966432,1959,1970,Göteborgs kommuns valkrets,förstakammarledamot
Q5561426,1959,1970,Göteborgs kommuns valkrets,förstakammarledamot
