wiki_id,start,end,government,role
Q6180686,1932-09-24,1936-06-19,Regeringen Hansson I,jordbruksminister
Q6180686,1936-09-28,1938-12-16,Regeringen Hansson II,handelsminister
Q6180686,,1938-12-16,Regeringen Hansson II,handelsminister
Q6180686,1938-12-16,1945-07-31,Regeringen Hansson II,försvarsminister
Q6180686,1938-12-16,1945-07-31,Regeringen Hansson III,försvarsminister
Q179493,1944-09-30,1945-07-31,Regeringen Hansson III,handelsminister
Q53707,1944-09-30,1945-07-31,Regeringen Hansson III,konsultativt statsråd
Q53707,1945-07-31,1946-10-11,Regeringen Hansson IV,ecklesiastikminister
Q5715273,1945-07-31,1948-10-28,Regeringen Erlander I,konsultativt statsråd
Q5715273,1945-07-31,1948-10-28,Regeringen Hansson IV,konsultativt statsråd
Q5715273,,1948-10-28,Regeringen Erlander I,konsultativt statsråd
Q6180686,1945-07-31,1948-10-29,Regeringen Erlander I,jordbruksminister
Q6180686,1945-07-31,1948-10-29,Regeringen Hansson IV,jordbruksminister
Q6180686,,1948-10-29,Regeringen Erlander I,landsbygdsminister
Q6180686,1948-10-28,1949-10-21,Regeringen Erlander I,samordningsminister
Q5715273,1950-01-01,1950-06-30,Regeringen Erlander I,folkhushållningsminister
Q5715273,1948-10-28,1955-09-12,Regeringen Erlander I,handelsminister
Q5715273,1948-10-28,1955-09-12,Regeringen Erlander II,handelsminister
Q6180686,1949-10-21,1955-09-12,Regeringen Erlander I,finansminister
Q6180686,1949-10-21,1955-09-12,Regeringen Erlander II,finansminister
Q6146893,1954-11-29,1955-09-12,Regeringen Erlander II,civilminister
Q5715273,1955-09-12,1957-03-22,Regeringen Erlander II,socialminister
Q514209,1951-10-01,1957-10-31,Regeringen Erlander II,inrikesminister
Q3376192,1967-02-28,1968-12-31,Regeringen Erlander III,biträdande finansminister
Q2345137,1961-11-25,1969-01-24,Regeringen Erlander III,jordbruksminister
Q5887636,1957-10-31,1969-01-25,Regeringen Erlander III,inrikesminister
Q6146893,,1970-10-03,Regeringen Palme I,handelsminister
Q6146893,1955-09-12,1970-10-09,Regeringen Erlander II,handelsminister
Q6146893,1955-09-12,1970-10-09,Regeringen Erlander III,handelsminister
Q6146893,1955-09-12,1970-10-09,Regeringen Palme I,handelsminister
Q3376192,1969-01-01,1971-06-30,Regeringen Erlander III,näringsminister
Q3376192,1969-01-01,1971-06-30,Regeringen Palme I,näringsminister
Q3376192,,1971-06-30,Regeringen Palme I,näringsminister
Q707581,1969-01-25,1973-11-02,Regeringen Erlander III,jordbruksminister
Q707581,1969-01-25,1973-11-02,Regeringen Palme I,jordbruksminister
Q53740,1969-10-14,1973-11-02,Regeringen Palme I,utbildningsminister
Q5989925,1967-09-29,1973-11-03,Regeringen Erlander III,skolminister
Q5989925,1967-09-29,1973-11-03,Regeringen Palme I,skolminister
Q2345137,1969-01-25,1973-11-03,Regeringen Erlander III,inrikesminister
Q2345137,1969-01-25,1973-11-03,Regeringen Palme I,inrikesminister
Q3376192,1971-06-30,1973-11-03,Regeringen Palme I,utrikesminister
Q2345137,,1973-11-03,Regeringen Palme I,inrikesminister
Q53740,,1973-11-03,Regeringen Palme I,utbildningsminister
Q5989925,,1973-11-03,Regeringen Palme I,skolminister
Q707581,,1973-11-03,Regeringen Palme I,landsbygdsminister
