wiki_id,start,end,party,party_id
Q1606431,1971-01-11,1974-01-10,Socialdemokraterna,Q105112
Q1606431,1974-01-10,1974-02-15,Socialdemokraterna,Q105112
Q1606431,1976-10-04,1976-10-04,Socialdemokraterna,Q105112
Q2345137,1971-01-11,1974-01-10,Socialdemokraterna,Q105112
Q2345137,1974-01-10,1974-01-10,Socialdemokraterna,Q105112
Q2345137,1976-10-04,1979-10-01,Socialdemokraterna,Q105112
Q2345137,1979-10-01,1979-11-22,Socialdemokraterna,Q105112
Q2345137,1980-01-01,1982-10-04,Socialdemokraterna,Q105112
Q2954414,1971-01-11,1974-01-10,Socialdemokraterna,Q105112
Q2954414,1974-01-10,1976-10-04,Socialdemokraterna,Q105112
Q2954414,1976-10-04,1979-10-01,Socialdemokraterna,Q105112
Q2954414,1979-10-01,1982-10-04,Socialdemokraterna,Q105112
Q3376192,1971-01-11,1973-11-20,Socialdemokraterna,Q105112
Q3376192,1974-01-10,1974-01-10,Socialdemokraterna,Q105112
Q369024,1971-01-11,1974-01-10,Vänsterpartiet,Q110837
Q369024,1974-01-10,1976-10-04,Vänsterpartiet,Q110837
Q369024,1976-10-04,1979-10-01,Vänsterpartiet,Q110837
Q369024,1979-10-01,1982-10-04,Vänsterpartiet,Q110837
Q369024,1982-10-04,1985-09-30,Vänsterpartiet,Q110837
Q369024,1985-09-30,1988-10-03,Vänsterpartiet,Q110837
Q369024,1988-10-03,1991-09-30,Vänsterpartiet,Q110837
Q369024,1991-09-30,1994-10-03,Vänsterpartiet,Q110837
Q4938354,1971-01-11,1974-01-10,Socialdemokraterna,Q105112
Q4966432,1971-01-11,1974-01-10,Socialdemokraterna,Q105112
Q4966432,1974-01-10,1976-10-04,Socialdemokraterna,Q105112
Q4966432,1976-10-04,1979-10-01,Socialdemokraterna,Q105112
Q4966432,1979-10-01,1982-10-04,Socialdemokraterna,Q105112
Q4966432,1982-10-04,1985-09-30,Socialdemokraterna,Q105112
Q4984675,1949,1960,Liberalerna,Q110857
