wiki_id,born,dead,gender,riksdagen_id
Q108219916,1927-07-18,2012-12-10,woman,
Q116040430,1914-02-03,,man,
Q1554742,1909-07-08,1987-11-24,man,
Q1606431,1911-11-21,1996-10-23,man,595189953892.0
Q179493,1899-04-23,1979-08-03,man,
Q2345137,1917-02-02,2009-06-05,man,
Q2954414,1914-07-14,2006-01-02,man,
Q3376192,1924-04-13,1993-09-10,man,
Q3379728,1911-06-18,2010-05-21,woman,
Q3424655,1895-01-19,1979-09-18,man,
Q369024,1935-07-25,2013-01-11,man,856559235708.0
Q4938354,1909-12-04,2002-02-11,woman,
Q4957038,1901-05-01,1994-10-11,woman,
Q4966432,1918-04-18,1997-11-18,woman,
Q4984675,1903-04-28,1990-11-17,woman,
Q514209,1900-10-01,1989-11-27,man,
Q5348198,1910-09-17,1983-08-22,man,
Q53707,1901-06-13,1985-06-21,man,
Q53740,1934-11-09,,man,906359551705.0
Q5546257,1906-05-30,2000-08-25,man,
Q5551491,1916-03-10,2004-08-29,man,
Q5554059,1899-11-11,1981-09-22,man,
Q5557484,1913-08-13,2007-06-11,man,
Q5561426,1912-08-28,2000-02-06,man,
Q5577506,1918-12-25,2014-09-30,man,
Q5577840,1907-06-07,1990-04-30,man,
Q5621600,1899-03-18,1980-03-06,man,
Q5715273,1907-04-06,1977-12-25,man,
Q5716662,1915-09-07,1974-03-06,man,
Q5777440,1911-11-08,1999-11-01,man,
Q5781896,1891-03-17,1982-08-10,man,
Q5782529,1910-08-23,1990-06-08,man,
Q5784568,1884-03-29,1967-09-01,man,
Q5789726,1928-11-23,2000-12-27,man,
Q5802833,1911-03-19,1986-02-01,man,
Q5807811,1920-03-22,2008,man,
Q5886385,1899-08-28,1994-12-22,man,
Q5887636,1915-02-12,1982-03-18,man,
Q5887928,1921-01-24,2008-08-17,man,
Q5897318,1903-12-31,1980-03-15,man,
Q5937997,1921-11-16,1971-04-30,man,
Q5938913,1913-09-16,1996-04-06,man,
Q5954195,1938-03-08,,man,689650052309.0
Q5963832,1919-07-22,1985-12-21,man,
Q5967746,1904-02-22,1979-04-30,man,
Q5969341,1923-08-06,1997-07-06,man,
Q5989925,1919-11-19,1994-10-04,man,
Q5997101,1903-12-01,1962-12-20,man,
Q6000480,1909-05-20,1985-12-22,man,
Q6010180,1896-10-29,1987-05-21,man,
Q6012223,1909-09-12,1977-01-05,man,
Q6017016,1925-01-12,2002-06-02,man,
Q6020187,1910-04-24,1988-11-23,man,
Q6027171,1916-08-30,2009-01-13,man,
Q6031148,1913-05-21,1989-12-31,man,
Q6044930,1910-06-14,1981-06-25,man,
Q6046795,1907-02-18,1972-06-22,man,
Q6047050,1908-04-12,1980-08-02,man,
Q6070749,1924-02-22,2016-10-19,man,
Q6072689,1900-06-10,1980-12-19,man,
Q6146893,1909-03-09,1976-09-16,man,868028415991.0
Q6151901,1892-06-15,1968-06-11,man,
Q6156731,1910-06-19,1994-07-23,man,
Q6170780,1911-12-14,1995-12-21,man,
Q6172705,1889-11-17,1975-08-12,man,
Q6180020,1892-09-02,1976-12-06,man,
Q6180594,1908-09-19,1976-04-20,man,
Q6180686,1891-05-25,1972-09-13,man,
Q6194302,1901-04-26,1987-07-07,man,
Q6195774,1890-09-05,1970-08-03,man,
Q6198452,1925-06-16,,man,859925892507.0
Q6199074,1896-02-05,1977-07-28,man,
Q6206899,1899-07-08,1974-03-28,man,
Q6231399,1917-05-22,1998-03-19,man,
Q6255268,1914-09-28,1996-08-17,man,
Q6257757,1917-02-21,1985-05-11,man,
Q6340136,1932-09-11,,man,172078270306.0
Q707581,1919-01-30,2000-04-12,man,33722755191.0
Q927466,1931-08-18,,man,805977157102.0
